"Response ID","Date submitted","Last page","Start language","Date started","Date last action","IP address","Referrer URL","What is your age?","What is the highest level of school you have completed or the highest degree you have received? [Less than high school degree]","What is the highest level of school you have completed or the highest degree you have received? [High school degree or equivalent]","What is the highest level of school you have completed or the highest degree you have received? [Some college but not degree]","What is the highest level of school you have completed or the highest degree you have received? [Bachelor degree]","What is the highest level of school you have completed or the highest degree you have received? [Graduate degree]","Which of the following best describes your current occupation? [Business and financial operations occupation]","Which of the following best describes your current occupation? [Computer and mathematical occupation]","Which of the following best describes your current occupation? [Architecture and engineering occupation]","Which of the following best describes your current occupation? [Life, physical science]","Which of the following best describes your current occupation? [Community and social service occupation]","Which of the following best describes your current occupation? [Legal occupation]","Which of the following best describes your current occupation? [Education, training occupation]","Which of the following best describes your current occupation? [Arts, design, entertainment occupation]","Which of the following best describes your current occupation? [Health care occupation]","Which of the following best describes your current occupation? [Office and administrative occupation]","Which of the following best describes your current occupation? [Other]","Have you ever read a patent document?","Have you ever written a patent document or part of it?","Do you use or have you used patent documents at your work on a daily basis? If yes, how and when?","How do you rank next statements? [It is important to improve the readability of patent documents:]","How do you rank next statements? [It is difficult to read patent documents:]","How do you rank next statements? [I do not find information I need easily from patent documents as they are now:]","Please explain what aspects of the way patent documents are presented are you happy with.","Please explain how this format could be improved.","Please order the ways of representing the patent document according to your preference order. [Ranking 1]","Please order the ways of representing the patent document according to your preference order. [Ranking 2]","Please order the ways of representing the patent document according to your preference order. [Ranking 3]","Please order the ways of representing the patent document according to your preference order. [Ranking 4]","Please order the ways of representing the patent document according to your preference order. [Ranking 5]","Please order the ways of representing the patent document according to your preference order. [Ranking 6]","Please order the ways of representing the patent document according to your preference order. [Ranking 7]","Please order the ways of representing the patent document according to your preference order. [Ranking 8]","In my opinion, there is an even better way of representing the patent document.","If yes, please describe it as free text:","Please, tell how you agree or disagree with the left column statements: [I think my preferred option supports reading patent documents]","Please, tell how you agree or disagree with the left column statements: [I can see myself using my preferred option when reading patent documents]","Please, tell how you agree or disagree with the left column statements: [I plan to use my preferred option (given it was made available)]","Please, tell how you agree or disagree with the left column statements: [I think my preferred option supports my work]","Please, tell how you agree or disagree with the left column statements: [In my opinion, I do not find information I need easily from patent documents even if using the most preferred option]","Please order the ways of representing the patent document according to your preference order. [Ranking 1]","Please order the ways of representing the patent document according to your preference order. [Ranking 2]","Please order the ways of representing the patent document according to your preference order. [Ranking 3]","In my opinion, there is an even better way of representing the patent document.","If yes, please describe it as free text:","Please tell how you agree or disagree with the left column statements: [I think my preferred option supports reading patent documents]","Please tell how you agree or disagree with the left column statements: [I can see myself using my preferred option when reading patent documents]","Please tell how you agree or disagree with the left column statements: [I plan to use my preferred option (given it was made available)]","Please tell how you agree or disagree with the left column statements: [I think my preferred option supports my work]","Please tell how you agree or disagree with the left column statements: [In my opinion, I do not find information I need easily from patent documents even if using the most preferred option]","Please order the ways of representing the patent document according to your preference order. [Ranking 1]","Please order the ways of representing the patent document according to your preference order. [Ranking 2]","In my opinion, there is an even better way of representing the patent document.","If yes, please describe it as free text:","Please, tell how you agree or disagree with the left column statements: [I think my preferred option supports reading patent documents]","Please, tell how you agree or disagree with the left column statements: [I can see myself using my preferred option when reading patent documents]","Please, tell how you agree or disagree with the left column statements: [I plan to use my preferred option (given it was made available)]","Please, tell how you agree or disagree with the left column statements: [I think my preferred option supports my work]","Please, tell how you agree or disagree with the left column statements: [In my opinion, I do not find information I need easily from patent documents even if using the most preferred option]","Please order the ways of representing the patent document according to your preference order. [Ranking 1]","Please order the ways of representing the patent document according to your preference order. [Ranking 2]","In my opinion, there is an even better way of representing the patent document.","If yes, please describe it as free text:","Please, tell how you agree or disagree with the left column statements: [I think my preferred option supports reading patent documents]","Please, tell how you agree or disagree with the left column statements: [I can see myself using my preferred option when reading patent documents]","Please, tell how you agree or disagree with the left column statements: [I plan to use my preferred option (given it was made available)]","Please, tell how you agree or disagree with the left column statements: [I think my preferred option supports my work]","Please, tell how you agree or disagree with the left column statements: [In my opinion, I do not find information I need easily from patent documents even if using the most preferred option]","Please order the ways of representing the patent document according to your preference order. [Ranking 1]","Please order the ways of representing the patent document according to your preference order. [Ranking 2]","In my opinion, there is an even better way of representing the patent document.","If yes, please describe it as free text:","Please, tell how you agree or disagree with the left column statements: [I think my preferred option supports reading patent documents]","Please, tell how you agree or disagree with the left column statements: [I can see myself using my preferred option when reading patent documents]","Please, tell how you agree or disagree with the left column statements: [I plan to use my preferred option (given it was made available)]","Please, tell how you agree or disagree with the left column statements: [I think my preferred option supports my work]","Please, tell how you agree or disagree with the left column statements: [In my opinion, I do not find information I need easily from patent documents even if using the most preferred option]","Total time","Group time: Demografic questions","Question time: D1","Question time: D2","Question time: D3","Question time: D4","Question time: D5","Group time: Introductory questions","Question time: I2","Question time: I1","Question time: I3","Question time: I4","Group time: Test 1: Understanding a patent claim","Question time: Test1x1","Question time: Test1x2","Question time: Test1x3","Question time: Test1x4","Group time: Test 2:  Understanding a patent claim because it has jargon words with special meaning via text augm","Question time: Test2x1","Question time: Test2x2","Question time: Test2x3","Question time: Test2x4","Group time: Test 3: Understanding and summarising a patent claim","Question time: Test3x1","Question time: Test3x2","Question time: Test3x3","Question time: Test3x4","Group time: Test 4: Understanding claim dependency structure","Question time: Test4x1","Question time: Test4x2","Question time: Test4x3","Question time: Test4x4","Group time: Test 5: Patent classification codes interpretation.","Question time: Test5x1","Question time: Test5x2","Question time: Test5x3","Question time: Test5x4"
"19","2014-11-14 10:07:42","7","en","2014-11-14 10:05:19","2014-11-14 10:07:42","203.143.165.165","http://research.nualart.cat/survey/index.php/152341","","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","N/A","N/A","","","","","","","","","","","","","","","N/A","","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","143.23","22.36","","","","","","24.61","","","","","24.09","","","","","10.1","","","","","5.24","","","","","6.48","","","","","50.35","","","",""
"20","2014-11-14 12:57:13","7","en","2014-11-14 12:38:29","2014-11-14 12:57:13","203.143.168.116","http://research.nualart.cat/survey/index.php/152341","51-60","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","","Yes","Yes","Review them (not daily) as part of job; previously worked in patent attorney firm, drafting.","somewhat agree","somewhat agree","somewhat agree","layout is fine: abstract, specification claims and drawings","nil","Solution 1d: Indentation with bars","Solution 1e: Indentation with numbered bars","Solution 1c: Indentation only","Solution 1f: Indentation with graphical bars","Solution 1g: Indentation with colourful graphical bars","Solution 1a:  Separation of phrases","Solution 1b: Segmentation to three parts","Solution 0: Raw text","N/A","","neutral","neutral","somewhat agree","somewhat agree","somewhat agree","Solution 2b: Highlighting","Solution 0: Raw patent claim text","Solution 2a: Font color","N/A","","neutral","somewhat agree","somewhat agree","neutral","neutral","","","N/A","","neutral","neutral","neutral","neutral","somewhat agree","","","N/A","","neutral","neutral","neutral","neutral","somewhat agree","Solution 0: classification codes of the patent as a list of alphanumeric symbols","Solution 1: classification codes of the patent aa a coluored table with codes definitions","N/A","","strongly agree","strongly agree","somewhat agree","somewhat agree","","1125.71","22.41","","","","","","104.27","","","","","309.1","","","","","166.63","","","","","106.31","","","","","186.6","","","","","230.39","","","",""
"21","2014-11-14 15:11:57","7","en","2014-11-14 14:38:49","2014-11-14 15:11:57","165.12.252.212","http://research.nualart.cat/survey/index.php/152341","51-60","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","","Yes","No","Patent Examiner. So need to read patent documents (daily) during examination.","somewhat disagree","strongly disagree","strongly disagree","The patent documents follow certain pattern- background art, problems with the prior art, summary of the invention, listing of the figures, description of the invention, operation, claims and figures. Generally happy with this format.","More headings in the description. 
Numerals in the claims to relate the features of the claims to the part in the figures.","Solution 1c: Indentation only","Solution 1b: Segmentation to three parts","Solution 0: Raw text","Solution 1d: Indentation with bars","Solution 1f: Indentation with graphical bars","Solution 1g: Indentation with colourful graphical bars","Solution 1a:  Separation of phrases","Solution 1e: Indentation with numbered bars","Yes","Numerals in the claims to relate the features of the claims to the part in the figures.","somewhat agree","strongly agree","strongly agree","strongly agree","strongly disagree","Solution 2b: Highlighting","Solution 2a: Font color","Solution 0: Raw patent claim text","No","","neutral","neutral","neutral","neutral","neutral","Solution 1: Relevant picture","Solution 0: Raw patent claim text","N/A","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","somewhat agree","Solution 1: Interactive visualization","Solution 0: Claims numeration","N/A","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","neutral","Solution 0: classification codes of the patent as a list of alphanumeric symbols","Solution 1: classification codes of the patent aa a coluored table with codes definitions","N/A","","somewhat agree","somewhat agree","somewhat agree","neutral","neutral","1575.44","55.68","","","","","","938.89","","","","","195.71","","","","","112.43","","","","","86.76","","","","","105.16","","","","","80.81","","","",""
"22","","4","en","2014-11-17 08:22:09","2014-11-17 08:56:48","49.181.15.172","http://research.nualart.cat/survey/index.php/152341","21-30","No","No","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","","Yes","No","","neutral","somewhat agree","neutral","","","Solution 1e: Indentation with numbered bars","Solution 1f: Indentation with graphical bars","Solution 1c: Indentation only","Solution 1a:  Separation of phrases","Solution 1d: Indentation with bars","Solution 1b: Segmentation to three parts","Solution 1g: Indentation with colourful graphical bars","Solution 0: Raw text","N/A","","strongly agree","strongly agree","strongly agree","neutral","neutral","Solution 2b: Highlighting","Solution 2a: Font color","Solution 0: Raw patent claim text","N/A","","strongly agree","strongly agree","strongly agree","neutral","neutral","","","N/A","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","2079.65","69.22","","","","","","390.52","","","","","1388.36","","","","","231.55","","","","","","","","","","","","","","","","","","",""
"23","2014-11-24 12:09:05","7","en","2014-11-24 11:52:38","2014-11-24 12:09:05","203.143.168.100","http://research.nualart.cat/survey/index.php/152341","","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","","Yes","Yes","","neutral","strongly agree","neutral","","","Solution 1e: Indentation with numbered bars","Solution 0: Raw text","Solution 1b: Segmentation to three parts","Solution 1a:  Separation of phrases","Solution 1c: Indentation only","Solution 1d: Indentation with bars","Solution 1f: Indentation with graphical bars","Solution 1g: Indentation with colourful graphical bars","N/A","","somewhat disagree","","","","","Solution 2a: Font color","Solution 0: Raw patent claim text","Solution 2b: Highlighting","N/A","","somewhat agree","","","","","Solution 0: Raw patent claim text","Solution 1: Relevant picture","N/A","","strongly agree","","","","","Solution 0: Claims numeration","Solution 1: Interactive visualization","N/A","","neutral","","","","","Solution 1: classification codes of the patent aa a coluored table with codes definitions","Solution 0: classification codes of the patent as a list of alphanumeric symbols","N/A","","neutral","","","","","988.46","35.21","","","","","","27.83","","","","","565.96","","","","","134.54","","","","","78.36","","","","","98.67","","","","","47.89","","","",""
"24","2014-11-24 13:23:05","7","en","2014-11-24 13:10:33","2014-11-24 13:23:05","203.143.170.37","http://research.nualart.cat/survey/index.php/152341","31-40","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","","Yes","No","Occasionally as part of my role as legal counsel. ","strongly agree","strongly agree","strongly agree","When drafted by professionals, consistency in approach. ","","Solution 1g: Indentation with colourful graphical bars","Solution 1e: Indentation with numbered bars","Solution 1a:  Separation of phrases","Solution 1b: Segmentation to three parts","Solution 1c: Indentation only","Solution 0: Raw text","Solution 1d: Indentation with bars","Solution 1f: Indentation with graphical bars","No","","somewhat agree","somewhat agree","somewhat agree","neutral","somewhat agree","Solution 2a: Font color","Solution 2b: Highlighting","Solution 0: Raw patent claim text","No","","somewhat agree","somewhat agree","somewhat agree","neutral","neutral","Solution 1: Relevant picture","Solution 0: Raw patent claim text","No","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","neutral","Solution 1: Interactive visualization","Solution 0: Claims numeration","No","","somewhat agree","somewhat agree","somewhat agree","neutral","","Solution 1: classification codes of the patent aa a coluored table with codes definitions","Solution 0: classification codes of the patent as a list of alphanumeric symbols","No","","neutral","neutral","neutral","neutral","","751.26","56.83","","","","","","105.39","","","","","169.31","","","","","66.03","","","","","123.03","","","","","98.87","","","","","131.8","","","",""
"25","2014-12-10 10:36:00","7","en","2014-12-10 09:27:27","2014-12-10 10:36:00","165.12.252.211","http://research.nualart.cat/survey/index.php/152341","31-40","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Patent Examiner","Yes","No","Yes - I examine Patent Applications every day.","somewhat agree","somewhat agree","somewhat agree","It can be difficult to understand what the inventive concept is in many patent documents.  This is especially so in the early stages of the application/examination process, as often the inventor is trying to get a patent for the broadest scope possible and thus in many cases it is not very clear as to what the applicant has invented.  Even for an experienced examiner it usually requires at least one iteration of correspondance with the Patent Attorney to better understand what the inventor has actually done that warrants a Patent.","In 2012 new legislation was passed (Raising the Bar Act 2012) in an attempt to ensure higher quality drafting of patents.  The Raising The Bar Act imposes more stringent legal tests on applicants such that the subject matter ultiamtely claimed better reflects what the applicant has actually invented and attempts to improve specifications such that the invention is better described.  

The inventive concept within Patent documents could be improved by technical experts re-writing a summary abstract which attempts to distill down the key features of the invention.  Unfortunately it is often not in the best interest of the applicant to do this themself.","Solution 1g: Indentation with colourful graphical bars","Solution 1f: Indentation with graphical bars","Solution 1e: Indentation with numbered bars","Solution 1a:  Separation of phrases","Solution 1d: Indentation with bars","Solution 1c: Indentation only","Solution 1b: Segmentation to three parts","Solution 0: Raw text","N/A","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","somewhat agree","Solution 2b: Highlighting","Solution 0: Raw patent claim text","Solution 2a: Font color","N/A","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","somewhat agree","Solution 1: Relevant picture","Solution 0: Raw patent claim text","N/A","","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","Solution 1: Interactive visualization","Solution 0: Claims numeration","Yes","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","somewhat agree","Solution 1: classification codes of the patent aa a coluored table with codes definitions","Solution 0: classification codes of the patent as a list of alphanumeric symbols","Yes","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","somewhat agree","4114.74","40.57","","","","","","943.55","","","","","364.37","","","","","62.63","","","","","33.81","","","","","2608.87","","","","","60.94","","","",""
"26","2014-12-31 11:39:25","7","en","2014-12-31 11:31:17","2014-12-31 11:39:25","124.171.70.51","http://research.nualart.cat/survey/index.php/152341","31-40","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","","Yes","No","No","somewhat agree","somewhat agree","neutral","The patent framework itself forces its presentations and documentation to be very unfriendly and therefor hard to read.","Perhaps the whole patent culture and legal implications should be revised and brought to a more practical level.","","","","","","","","","N/A","","neutral","somewhat agree","somewhat agree","neutral","neutral","","","","N/A","","somewhat agree","neutral","neutral","neutral","somewhat agree","Solution 1: Relevant picture","","N/A","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","somewhat agree","Solution 1: Interactive visualization","","N/A","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","somewhat agree","Solution 1: classification codes of the patent aa a coluored table with codes definitions","","N/A","","","somewhat agree","somewhat agree","somewhat agree","somewhat agree","489.83","58.98","","","","","","183.41","","","","","119.51","","","","","45.68","","","","","32.31","","","","","23.18","","","","","26.76","","","",""
"27","","2","en","2015-01-20 09:26:40","2015-01-20 09:28:35","203.143.175.67","http://research.nualart.cat/survey/index.php/152341","21-30","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","","Yes","Yes","Not on a daily basis.","somewhat agree","strongly agree","strongly agree","","","","","","","","","","","N/A","","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","114.4","26.38","","","","","","88.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","","1","en","2015-01-20 09:36:57","2015-01-20 09:40:33","83.97.135.134","http://research.nualart.cat/survey/index.php/152341","41-50","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No","","N/A","N/A","no","somewhat agree","somewhat agree","somewhat agree","","","","","","","","","","","N/A","","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","","","N/A","","","","","","","215.64","71.26","","","","","","144.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
